Year,Country,Precipitation,Urban_Pop,Forest_Area,Pop_Density
2000,Indonesia,2702.0,41.9861540600656,53.94352866735304,115.08687262286028
2001,Indonesia,2702.0,42.9018895186157,53.85720197771634,116.69543796893666
2002,Indonesia,2702.0,43.7824069030376,53.77087528807965,118.28828097079176
2003,Indonesia,2702.0,44.6301761521872,53.68454859844295,119.86457021207242
2004,Indonesia,2702.0,45.4476736441888,53.59822190880625,121.3977855883216
2005,Indonesia,2702.0,46.2373757571669,53.51189521916956,122.96634548039194
2006,Indonesia,2702.0,47.0017588692457,53.42556852953285,124.6068093052587
2007,Indonesia,2702.0,47.7432993585496,53.33924183989616,126.2636154414416
2008,Indonesia,2702.0,48.4644736032029,53.25291515025946,127.91236892942229
2009,Indonesia,2702.0,49.16775798133,53.16658846062276,129.54331114625205
2010,Indonesia,2702.0,49.8521375148888,53.08026177098607,131.1865935844058
2011,Indonesia,2702.0,50.4830017089844,52.58691922691595,132.87217439610464
2012,Indonesia,2702.0,51.1593933105469,52.09357668284582,134.5917271676079
2013,Indonesia,2702.0,51.8307495117188,51.60023413877569,136.27157275106137
2014,Indonesia,2702.0,52.5002136230469,51.10689159470556,137.88270531483303
2015,Indonesia,2702.0,53.1720771789551,50.61354905063544,139.4389345726994
2016,Indonesia,2702.0,53.812557220459,50.74345452695819,140.9452676644018
2017,Indonesia,2702.0,54.4541015625,50.039333822986606,142.3935832340445
2018,Indonesia,2702.0,55.0956840515137,49.71681777920756,143.78115268074518
2019,Indonesia,2702.0,55.7382049560547,49.39429640925072,145.13268893683633
2020,Indonesia,2702.0,56.2785287648768,49.07178036547167,146.3712835928691
2021,Indonesia,2702.0,56.8761702464027,48.36194486812056,146.23510770862637
2022,Indonesia,2702.0,57.4934704226599,48.0419900717626,147.3301752154192
2000,Malaysia,2875.0,61.9694564490726,59.93410439811292,69.90660782224927
2001,Malaysia,2875.0,63.0180877676224,59.70774615735809,71.60717698980368
2003,Malaysia,2875.0,65.0750932867555,59.25502967584843,75.11673109115812
2004,Malaysia,2875.0,66.0647889111941,59.02867143509359,76.8734500076092
2005,Malaysia,2875.0,67.0159820173565,58.802313194338765,78.63664891188556
2006,Malaysia,2875.0,67.9191992840997,58.57595495358393,80.40757571145944
2007,Malaysia,2875.0,68.7649673902807,58.3495967128291,82.17436919799117
2008,Malaysia,2875.0,69.5438130147565,58.12323847207427,83.91434789225384
2009,Malaysia,2875.0,70.2462628363839,57.89688023131944,85.60273322173185
2011,Malaysia,2875.0,71.4245166681964,57.98497641150511,88.75982042307108
2013,Malaysia,2875.0,72.4882717118078,58.61388525338609,91.84070917668544
2014,Malaysia,2875.0,72.9802206910773,58.928339674326594,93.42911885557754
2015,Malaysia,2875.0,73.4387869957006,59.24279409526708,95.06254147009588
2016,Malaysia,2875.0,73.8588978909614,58.78752092527774,96.75752549079289
2017,Malaysia,2875.0,74.2354806421432,58.6348805356871,98.48012174707046
2018,Malaysia,2875.0,74.5634625145296,58.48224014609649,100.17034545731244
2019,Malaysia,2875.0,74.8377707734042,58.32959975650586,101.7823649368437
2020,Malaysia,2875.0,75.0511895575672,58.17695936691523,103.1488601430528
2021,Malaysia,2875.0,75.5088628191907,58.02431897732461,104.3445411657282
2022,Malaysia,2875.0,75.9741357073003,57.871678587733975,105.6018657738548
